"marker","marker_label","units","higher_is","sex_code","sex","k","q","s_pooled","age_min","age_max","n_total","n_bands","provisional","source"
"grip","Grip strength","kg","younger",1,"Men",-0.23553,56.3161,8.7921,18,80,NA,0,FALSE,"NHANES 2011-2014"
"grip","Grip strength","kg","younger",2,"Women",-0.157158,36.4082,5.6786,18,80,NA,0,FALSE,"NHANES 2011-2014"
"whtr","Waist-to-height ratio","ratio","older",1,"Men",0.001635,0.4952,0.0864,18,80,NA,0,FALSE,"NHANES 2011-2014"
"whtr","Waist-to-height ratio","ratio","older",2,"Women",0.001451,0.5343,0.103,18,80,NA,0,FALSE,"NHANES 2011-2014"
"sit_reach","Sit-and-reach","cm","younger",1,"Men",-0.132928,24.9953,11.7188,25,62.5,375,5,FALSE,"Kjaer 2016 (Norway), n=726, ages 20-65"
"sit_reach","Sit-and-reach","cm","younger",2,"Women",-0.102155,28.8659,13.2598,25,62.5,350,5,FALSE,"Kjaer 2016 (Norway), n=726, ages 20-65"
"balance_oneleg","One-leg balance (OLSsum)","s","younger",1,"Men",-0.840718,92.872,19.6943,25,62.5,375,5,FALSE,"Kjaer 2016 (Norway), n=726, ages 20-65"
"balance_oneleg","One-leg balance (OLSsum)","s","younger",2,"Women",-0.868619,96.5135,21.1689,25,62.5,350,5,FALSE,"Kjaer 2016 (Norway), n=726, ages 20-65"
"pushups_mod","Modified push-ups","reps / 40 s","younger",1,"Men",-0.160221,19.1298,4.1204,25,62.5,375,5,FALSE,"Kjaer 2016 (Norway), n=726, ages 20-65"
"pushups_mod","Modified push-ups","reps / 40 s","younger",2,"Women",-0.12547,13.6634,4.0363,25,62.5,350,5,FALSE,"Kjaer 2016 (Norway), n=726, ages 20-65"
"sit_rise_floor","Sit-rise floor test","score (0-10)","younger",1,"Men",-0.115912,13.6749,2.8,48,83,2641,8,TRUE,"Araujo 2020 SRT (provisional, median-based, 46+)"
"sit_rise_floor","Sit-rise floor test","score (0-10)","younger",2,"Women",-0.142729,15.2049,2.8,48,83,1280,8,TRUE,"Araujo 2020 SRT (provisional, median-based, 46+)"
"chair_rise","5-rep chair rise","s","older",1,"Men",0.072333,8.1983,3.2304,45,85,12870,9,FALSE,"Mayhew 2023 CLSA (Supp App 5)"
"chair_rise","5-rep chair rise","s","older",2,"Women",0.088667,7.37,3.2957,45,85,12150,9,FALSE,"Mayhew 2023 CLSA (Supp App 5)"
"reaction","Reaction time","ms","older",1,"Men",2.85,361.6,112,40,70,NA,0,TRUE,"UK Biobank (PMC8249619), derived"
"reaction","Reaction time","ms","older",2,"Women",3.4,345.23,112,40,70,NA,0,TRUE,"UK Biobank (PMC8249619), derived"
